Purpose,Clarify doubts,Translations,Complete assig.,Taking notes
Clarify doubts,1,0,0,0
Clarify doubts,Translations,1,1,0,0
Clarify doubts,Translations,1,1,0,0
Clarify doubts,Translations,Taking notes,1,1,0,1
Clarify doubts,Translations,Complete assig.,Taking notes,1,1,1,1
Clarify doubts,1,0,0,0
Clarify doubts,Translations,Complete assig.,Taking notes,1,1,1,1
Clarify doubts,1,0,0,0
Clarify doubts,1,0,0,0
Clarify doubts,1,0,0,0
Clarify doubts,Complete assig.,Taking notes,1,0,1,1
Clarify doubts,1,0,0,0
Clarify doubts,1,0,0,0
Clarify doubts,Translations,Taking notes,1,1,0,1
Clarify doubts,Complete assig.,1,0,1,0
Complete assig.,0,0,1,0
Clarify doubts,1,0,0,0
Clarify doubts,1,0,0,0
Clarify doubts,1,0,0,0
Clarify doubts,1,0,0,0
Clarify doubts,Complete assig.,Taking notes,1,0,1,1
Clarify doubts,1,0,0,0
Clarify doubts,1,0,0,0
Clarify doubts,Complete assig.,Taking notes,1,0,1,1
Clarify doubts,Taking notes,1,0,0,1
Clarify doubts,1,0,0,0
Taking notes,0,0,0,1
Clarify doubts,1,0,0,0
Clarify doubts,Taking notes,1,0,0,1
Clarify doubts,Translations,1,1,0,0
Clarify doubts,1,0,0,0
Complete assig.,0,0,1,0
Clarify doubts,Translations,Complete assig.,Taking notes,1,1,1,1
Clarify doubts,1,0,0,0
Clarify doubts,Translations,1,1,0,0
Clarify doubts,1,0,0,0
Clarify doubts,Translations,Complete assig.,Taking notes,1,1,1,1
Clarify doubts,1,0,0,0
Clarify doubts,Complete assig.,1,0,1,0
Clarify doubts,1,0,0,0
Complete assig.,0,0,1,0
